,Datetime,P,I,T,T_NCEP,H_NCEP,W_NCEP,I_NCEP
203,22/1/2022 17:00,36,16.12141905,37,27.4,55.09,0.68,64.8804
204,23/1/2022 7:00,92,35.13207,31.75,21.73,77.39,0.67,3.8098
205,23/1/2022 8:00,776,296.3039025,32.75,23.69,69.86,0.88,120.7455
206,23/1/2022 9:00,1344,544.71295,35.25,25.64,62.32,1.14,340.5855
207,23/1/2022 10:00,1604,657.255325,37,27.59,54.79,1.42,533.745
208,23/1/2022 11:00,1636,626.048425,38.5,28.84,49.69,1.45,704.0685
209,23/1/2022 12:00,1464,643.270425,39.25,30.09,44.58,1.69,833.754
210,23/1/2022 13:00,684,256.518325,39.25,31.34,39.47,2.06,848.2416
211,23/1/2022 14:00,1004,383.571575,39.25,31.74,36.43,2.03,799.1013
212,23/1/2022 15:00,1108,427.937875,39.25,32.13,33.39,2.03,691.2732
213,23/1/2022 16:00,612,272.45355,39.5,32.53,30.34,2.08,406.7643
214,23/1/2022 17:00,132,67.2777775,38.75,31.34,32.59,1.81,175.3005
215,24/1/2022 7:00,269.2,62.14677,31.25,21.57,65.02,1.87,4.3797
216,24/1/2022 8:00,866,314.513325,33,23.72,58.75,1.44,130.8853
217,24/1/2022 9:00,1424,570.821225,35.5,25.87,52.48,1.27,371.1585
218,24/1/2022 10:00,1716,708.176975,38.25,28.02,46.21,1.43,568.956
219,24/1/2022 11:00,1748,732.083925,39.5,29.39,39.27,1.17,735.0072
220,24/1/2022 12:00,1644,619.73575,40.25,30.76,32.33,1.02,853.8693
221,24/1/2022 13:00,2000,846.6415,40.25,32.12,25.39,1.03,876.9771
222,24/1/2022 14:00,1488,602.2952,40.75,32.13,24.12,1.19,834.2565
223,24/1/2022 15:00,1212,501.625325,40.25,32.13,22.84,1.47,729.1407
224,24/1/2022 16:00,544,242.290675,40,32.14,21.56,1.83,539.0163
225,24/1/2022 17:00,88,37.5195275,40,30.47,25.19,2.1,326.9148
226,25/1/2022 7:00,201.6,49.060255,30.5,21.43,56.96,0.48,4.2372
227,25/1/2022 8:00,763.6,278.903775,32.25,23.75,50.48,0.14,135.5027
228,25/1/2022 9:00,1356,544.55915,35.5,26.07,44.01,0.53,375.2769
229,25/1/2022 10:00,1772,724.5331,38.5,28.38,37.53,1.01,574.7844
230,25/1/2022 11:00,2020,833.6764,40.25,29.74,33.92,0.84,742.3149
231,25/1/2022 12:00,2076,866.70425,41.25,31.1,30.3,0.7,862.284
232,25/1/2022 13:00,1872,762.190225,41.75,32.47,26.68,0.64,883.4472
233,25/1/2022 14:00,1504,637.2573,41.75,32.49,25.66,0.29,838.4211
234,25/1/2022 15:00,1212,508.54495,42,32.5,24.64,0.21,731.1276
235,25/1/2022 16:00,580,253.103025,41.5,32.52,23.62,0.53,540.654
